PG.MolecularWeight	PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.Completeness	[1] AST_260331_115.raw.PG.NrOfStrippedSequencesUsedForQuantification	[2] AST_260331_116.raw.PG.NrOfStrippedSequencesUsedForQuantification	[3] AST_260331_117.raw.PG.NrOfStrippedSequencesUsedForQuantification	[4] AST_260331_118.raw.PG.NrOfStrippedSequencesUsedForQuantification	[5] AST_260331_119.raw.PG.NrOfStrippedSequencesUsedForQuantification	[6] AST_260331_120.raw.PG.NrOfStrippedSequencesUsedForQuantification	[7] AST_260331_121.raw.PG.NrOfStrippedSequencesUsedForQuantification	[8] AST_260331_125.raw.PG.NrOfStrippedSequencesUsedForQuantification	[9] AST_260331_126.raw.PG.NrOfStrippedSequencesUsedForQuantification	[10] AST_260331_127.raw.PG.NrOfStrippedSequencesUsedForQuantification	[11] AST_260331_128.raw.PG.NrOfStrippedSequencesUsedForQuantification	[12] AST_260331_129.raw.PG.NrOfStrippedSequencesUsedForQuantification	[13] AST_260331_130.raw.PG.NrOfStrippedSequencesUsedForQuantification	[14] AST_260331_131.raw.PG.NrOfStrippedSequencesUsedForQuantification	[15] AST_260331_134.raw.PG.NrOfStrippedSequencesUsedForQuantification	[16] AST_260331_135.raw.PG.NrOfStrippedSequencesUsedForQuantification	[17] AST_260331_136.raw.PG.NrOfStrippedSequencesUsedForQuantification	[18] AST_260331_137.raw.PG.NrOfStrippedSequencesUsedForQuantification	[19] AST_260331_138.raw.PG.NrOfStrippedSequencesUsedForQuantification	[20] AST_260331_139.raw.PG.NrOfStrippedSequencesUsedForQuantification	[21] AST_260331_140.raw.PG.NrOfStrippedSequencesUsedForQuantification	[22] AST_260331_142.raw.PG.NrOfStrippedSequencesUsedForQuantification	[23] AST_260331_143.raw.PG.NrOfStrippedSequencesUsedForQuantification	[24] AST_260331_144.raw.PG.NrOfStrippedSequencesUsedForQuantification	[25] AST_260331_148.raw.PG.NrOfStrippedSequencesUsedForQuantification	[26] AST_260331_149.raw.PG.NrOfStrippedSequencesUsedForQuantification	[27] AST_260331_152.raw.PG.NrOfStrippedSequencesUsedForQuantification	[28] AST_260331_153.raw.PG.NrOfStrippedSequencesUsedForQuantification	[29] AST_260331_157.raw.PG.NrOfStrippedSequencesUsedForQuantification	[30] AST_260331_158.raw.PG.NrOfStrippedSequencesUsedForQuantification	[31] AST_260331_161.raw.PG.NrOfStrippedSequencesUsedForQuantification	[32] AST_260331_162.raw.PG.NrOfStrippedSequencesUsedForQuantification	[33] AST_260331_163.raw.PG.NrOfStrippedSequencesUsedForQuantification	[34] AST_260331_164.raw.PG.NrOfStrippedSequencesUsedForQuantification	[35] AST_260331_165.raw.PG.NrOfStrippedSequencesUsedForQuantification	[36] AST_260331_166.raw.PG.NrOfStrippedSequencesUsedForQuantification	[37] AST_260331_167.raw.PG.NrOfStrippedSequencesUsedForQuantification	[38] AST_260407_008.raw.PG.NrOfStrippedSequencesUsedForQuantification	[39] AST_260407_009.raw.PG.NrOfStrippedSequencesUsedForQuantification	[40] AST_260407_010.raw.PG.NrOfStrippedSequencesUsedForQuantification	[41] AST_260407_011.raw.PG.NrOfStrippedSequencesUsedForQuantification	[42] AST_260407_012.raw.PG.NrOfStrippedSequencesUsedForQuantification	[43] AST_260407_014.raw.PG.NrOfStrippedSequencesUsedForQuantification	[44] AST_260407_015.raw.PG.NrOfStrippedSequencesUsedForQuantification	[45] AST_260407_016.raw.PG.NrOfStrippedSequencesUsedForQuantification	[46] AST_260407_017.raw.PG.NrOfStrippedSequencesUsedForQuantification	[47] AST_260407_018.raw.PG.NrOfStrippedSequencesUsedForQuantification	[48] AST_260407_019.raw.PG.NrOfStrippedSequencesUsedForQuantification	[1] AST_260331_115.raw.PG.MS2Quantity	[2] AST_260331_116.raw.PG.MS2Quantity	[3] AST_260331_117.raw.PG.MS2Quantity	[4] AST_260331_118.raw.PG.MS2Quantity	[5] AST_260331_119.raw.PG.MS2Quantity	[6] AST_260331_120.raw.PG.MS2Quantity	[7] AST_260331_121.raw.PG.MS2Quantity	[8] AST_260331_125.raw.PG.MS2Quantity	[9] AST_260331_126.raw.PG.MS2Quantity	[10] AST_260331_127.raw.PG.MS2Quantity	[11] AST_260331_128.raw.PG.MS2Quantity	[12] AST_260331_129.raw.PG.MS2Quantity	[13] AST_260331_130.raw.PG.MS2Quantity	[14] AST_260331_131.raw.PG.MS2Quantity	[15] AST_260331_134.raw.PG.MS2Quantity	[16] AST_260331_135.raw.PG.MS2Quantity	[17] AST_260331_136.raw.PG.MS2Quantity	[18] AST_260331_137.raw.PG.MS2Quantity	[19] AST_260331_138.raw.PG.MS2Quantity	[20] AST_260331_139.raw.PG.MS2Quantity	[21] AST_260331_140.raw.PG.MS2Quantity	[22] AST_260331_142.raw.PG.MS2Quantity	[23] AST_260331_143.raw.PG.MS2Quantity	[24] AST_260331_144.raw.PG.MS2Quantity	[25] AST_260331_148.raw.PG.MS2Quantity	[26] AST_260331_149.raw.PG.MS2Quantity	[27] AST_260331_152.raw.PG.MS2Quantity	[28] AST_260331_153.raw.PG.MS2Quantity	[29] AST_260331_157.raw.PG.MS2Quantity	[30] AST_260331_158.raw.PG.MS2Quantity	[31] AST_260331_161.raw.PG.MS2Quantity	[32] AST_260331_162.raw.PG.MS2Quantity	[33] AST_260331_163.raw.PG.MS2Quantity	[34] AST_260331_164.raw.PG.MS2Quantity	[35] AST_260331_165.raw.PG.MS2Quantity	[36] AST_260331_166.raw.PG.MS2Quantity	[37] AST_260331_167.raw.PG.MS2Quantity	[38] AST_260407_008.raw.PG.MS2Quantity	[39] AST_260407_009.raw.PG.MS2Quantity	[40] AST_260407_010.raw.PG.MS2Quantity	[41] AST_260407_011.raw.PG.MS2Quantity	[42] AST_260407_012.raw.PG.MS2Quantity	[43] AST_260407_014.raw.PG.MS2Quantity	[44] AST_260407_015.raw.PG.MS2Quantity	[45] AST_260407_016.raw.PG.MS2Quantity	[46] AST_260407_017.raw.PG.MS2Quantity	[47] AST_260407_018.raw.PG.MS2Quantity	[48] AST_260407_019.raw.PG.MS2Quantity
195204	P36126	SPO14	Phospholipase D1	59	prospore membrane,nucleus,endosome	cell morphogenesis involved in conjugation with cellular fusion,lipid metabolic process,phospholipid metabolic process,phosphatidic acid biosynthetic process,phospholipid catabolic process,ascospore-type prospore assembly,intracellular signal transduction	catalytic activity,phospholipase D activity,phosphatidylinositol-3-phosphate binding,phosphatidylinositol binding	100	8	16	8	8	18	14	13	18	15	9	18	8	15	12	10	14	8	18	17	14	10	7	20	31	27	31	15	25	29	24	16	35	20	31	36	27	26	17	30	16	25	20	38	21	35	46	14	34	600.806640625	704.0687255859375	567.7646484375	627.3135986328125	666.1777954101562	639.9378662109375	652.1594848632812	642.4850463867188	649.4486694335938	657.9859008789062	715.3462524414062	528.5765991210938	598.6318969726562	552.7101440429688	611.524169921875	574.5742797851562	679.1986694335938	743.340576171875	651.42919921875	592.0095825195312	580.570068359375	806.4708251953125	792.2954711914062	1188.6458740234375	1472.5238037109375	1256.8302001953125	758.0897827148438	1099.800048828125	1442.9073486328125	1264.022216796875	891.0725708007812	1089.5308837890625	1029.4161376953125	1464.453369140625	1428.58349609375	1441.620361328125	1243.623779296875	613.0858764648438	1001.8527221679688	719.1015625	1054.4912109375	898.6856079101562	1420.2974853515625	938.4505004882812	1364.83203125	1380.771484375	514.56005859375	1329.595703125
72832.24	P36130	CAF4	CCR4-associated factor 4	26	mitochondrion,mitochondrial outer membrane,CCR4-NOT complex	mitochondrial fission,regulation of transcription from RNA polymerase II promoter,peroxisome fission	molecular_function,protein binding	100	10	11	14	6	15	11	11	8	12	10	11	9	15	13	8	15	10	16	10	12	14	13	10	10	5	10	8	11	8	7	7	10	9	6	7	7	10	15	9	12	10	9	5	13	8	8	16	5	1304.802734375	897.5126342773438	1269.7138671875	1185.08447265625	1107.8900146484375	1064.6141357421875	1099.2960205078125	806.5142211914062	1360.060791015625	1331.35595703125	991.0449829101562	1055.468017578125	1167.9515380859375	1127.2410888671875	729.6552734375	1237.58447265625	1455.416748046875	1012.0734252929688	881.5962524414062	1167.222412109375	1165.845703125	972.1419677734375	744.6660766601562	909.1466674804688	897.8887329101562	945.5980224609375	710.8328247070312	830.9066772460938	698.2247924804688	743.417236328125	864.728271484375	1015.4041137695312	843.1152954101562	754.2005004882812	956.45166015625	786.1929931640625	884.554443359375	1215.339111328125	765.8200073242188	1287.02783203125	964.0079956054688	1081.5267333984375	749.0015258789062	1119.4798583984375	863.7688598632812	735.896240234375	1115.2926025390625	797.8658447265625
34077.74	P36131	SPC34	DASH complex subunit SPC34	12	nucleus,chromosome,spindle,spindle microtubule,mitotic spindle,DASH complex	attachment of spindle microtubules to kinetochore,positive regulation of microtubule polymerization,positive regulation of attachment of spindle microtubules to kinetochore,mitotic sister chromatid biorientation,protein transport along microtubule to mitotic spindle pole body	microtubule binding,microtubule plus-end binding,protein binding	100	6	8	6	6	7	7	5	8	7	7	8	8	8	9	11	9	5	6	7	6	8	6	9	7	8	10	9	6	7	7	5	7	7	8	10	4	5	8	9	8	7	9	10	7	9	9	8	9	1271.05517578125	1178.6341552734375	1168.389892578125	1358.853515625	1387.9111328125	1267.944580078125	1285.96923828125	1287.2291259765625	1279.4622802734375	1411.6885986328125	1180.81201171875	1427.0377197265625	1259.798583984375	1295.5855712890625	1167.0286865234375	1216.3529052734375	1458.5533447265625	1390.0791015625	1224.00146484375	1282.8037109375	1440.799560546875	1243.779541015625	1301.7484130859375	1390.3016357421875	1896.6195068359375	1545.4434814453125	1191.1793212890625	1558.9825439453125	1855.1966552734375	1533.1513671875	1314.834228515625	1737.00341796875	1266.2490234375	1982.0250244140625	1855.0008544921875	1956.66455078125	1743.4100341796875	1293.0882568359375	1439.0750732421875	1249.968017578125	1688.6165771484375	1376.0780029296875	1841.08447265625	1568.396484375	1815.193359375	1872.713623046875	1360.865478515625	1722.1312255859375
42748.38	P36132	KAE1	tRNA N6-adenosine threonylcarbamoyltransferase	18	cytoplasm,chromatin,nucleus,nucleoplasm,EKC/KEOPS complex	telomere maintenance via recombination,telomere maintenance,tRNA threonylcarbamoyladenosine modification,tRNA modification,positive regulation of transcription from RNA polymerase II promoter,chromosome organization,tRNA threonylcarbamoyladenosine metabolic process,maintenance of translational fidelity	protein binding,nucleotidase activity,zinc ion binding,transferase activity, transferring acyl groups other than amino-acyl groups,chromatin DNA binding,N(6)-L-threonylcarbamoyladenine synthase	100	12	13	14	16	14	16	14	17	16	15	14	14	15	12	17	15	15	15	17	15	14	12	15	16	14	14	14	15	14	13	15	16	15	16	14	15	15	11	17	13	15	12	16	16	17	17	17	17	5912.1064453125	6065.64404296875	6624.55224609375	6855.29638671875	6967.7421875	6256.11865234375	6716.81005859375	6152.7119140625	6931.44921875	6250.251953125	6984.84521484375	6655.68505859375	6645.60986328125	7030.66357421875	6241.81103515625	6553.0673828125	6641.2109375	6749.01416015625	6789.46533203125	6556.607421875	6988.91455078125	6473.44189453125	6569.1318359375	6970.72412109375	7160.68212890625	7518.763671875	6203.5234375	7211.91064453125	7479.3037109375	7661.58203125	6631.05908203125	7150.69287109375	7502.0166015625	7384.77197265625	7653.53662109375	7242.98583984375	7635.38720703125	6381.89990234375	7821.22412109375	6253.13427734375	7716.49755859375	6685.734375	8344.8125	7069.02197265625	9021.0107421875	7978.5849609375	7255.3896484375	8058.08056640625
36955.26	P36135	UTH1	Probable secreted beta-glucosidase UTH1	4	fungal-type cell wall,cell surface,mitochondrial outer membrane,mitochondrial inner membrane	mitophagy,fungal-type cell wall biogenesis,fungal-type cell wall organization	molecular_function	100	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6397.11669921875	4736.53173828125	4638.85986328125	6842.02783203125	6609.9365234375	6374.04541015625	6611.31689453125	5020.5068359375	4782.52197265625	7160.0009765625	6629.75634765625	4870.8115234375	5942.1162109375	5573.1669921875	5696.33056640625	4706.35693359375	6910.8994140625	7008.029296875	6294.40576171875	6912.708984375	5731.70556640625	6338.736328125	4380.41650390625	4462.27783203125	4497.84130859375	5106.697265625	4245.1083984375	4923.1982421875	4854.49853515625	5279.94970703125	4321.7255859375	3893.261962890625	3432.668212890625	4818.912109375	4423.7353515625	4570.30712890625	4989.45703125	4917.05712890625	4069.172119140625	3338.178466796875	3054.963134765625	3062.802734375	4000.39208984375	3302.41845703125	3976.839599609375	4128.8564453125	3366.421875	3688.0048828125
31021.95	P36136	SHB17	Sedoheptulose 1,7-bisphosphatase	13	nucleus,cytoplasm	ribose phosphate biosynthetic process	sedoheptulose-bisphosphatase activity	100	11	11	11	11	11	11	11	12	12	12	12	11	10	11	11	12	12	11	11	9	11	11	12	12	11	11	11	10	11	11	12	10	11	10	10	10	10	12	11	12	13	10	11	11	12	11	12	10	47534.109375	38593.390625	45441.07421875	49427.234375	34317.91796875	34670.7734375	36319.29296875	39605.60546875	46875.57421875	59413.66015625	35829.56640625	35071.203125	35216.13671875	40294.85546875	40331.05859375	45914.51953125	57066.41796875	35341.87109375	34884.6484375	34375.0390625	43209.1640625	32824.32421875	30286.033203125	29935.80078125	23202.4375	25759.775390625	30756.560546875	29628.177734375	22310.341796875	26643.44140625	27718.806640625	25027.087890625	32741.390625	21801.09765625	22360.50390625	22932.640625	26548.271484375	43811.8515625	29886.560546875	40724.4375	33931.90234375	32662.7421875	23150.314453125	32711.833984375	23794.7578125	24033.07421875	43565.19140625	23740.875
50981	P36137	UIP5	Protein UIP5	5	Golgi membrane,endoplasmic reticulum membrane,endoplasmic reticulum-Golgi intermediate compartment,ER to Golgi transport vesicle,fungal-type vacuole,nuclear envelope,membrane,nuclear membrane	ER to Golgi vesicle-mediated transport,biological_process	molecular_function,mannose binding	95.8	4	5	5	5	4	4	5	5	5	2	4	3	5	3	4	5	2	4	3	4	3	4	3	2	3	3	2	3	4	2	4	4	4	2	3	0	4	5	0	4	2	4	4	3	5	4	5	4	512.5586547851562	481.9384765625	560.1176147460938	322.7703552246094	374.7117614746094	422.4691467285156	583.75927734375	364.94580078125	451.163818359375	336.2572021484375	335.2635192871094	460.44622802734375	462.47735595703125	593.0706787109375	465.2367858886719	450.85089111328125	345.71759033203125	383.54931640625	529.0648193359375	573.3038940429688	551.1729125976562	396.7165832519531	344.4333801269531	395.6495056152344	439.9928283691406	429.4885559082031	168.0594024658203	310.56402587890625	282.6215515136719	485.0462341308594	462.9985046386719	454.447998046875	457.4833068847656	588.3003540039062	382.440185546875	NaN	422.58721923828125	507.829833984375	NaN	516.17236328125	457.3985595703125	535.2909545898438	331.18426513671875	523.3656616210938	376.8894348144531	387.6847839355469	504.0828857421875	619.5995483398438
20226.25	P36138	YKR045C	Uncharacterized protein YKR045C	1	cytoplasm	biological_process	molecular_function	4.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.514801025390625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.232030868530273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31246.36	P36139	PET10	Protein PET10	20	lipid particle,membrane	aerobic respiration,lipid particle organization	macromolecular complex binding	100	17	14	17	12	14	16	15	17	15	12	16	17	17	17	17	17	12	17	17	16	15	15	15	16	16	16	15	16	16	16	16	16	14	17	16	16	16	16	19	16	18	16	17	15	19	17	17	17	60968.28515625	38724.54296875	39948.59375	51882.90625	65487.87109375	57209.6953125	63192.69140625	42046.05859375	35910.50390625	51026.16015625	65832.125	56288.34765625	63699.078125	42271.04296875	40860.16015625	37121.05859375	57399.578125	62174.921875	59855.29296875	62881.4375	44852.58203125	66439.7890625	30043.44921875	37571.2734375	43805.453125	66097.859375	32590.9453125	46968.69921875	42243.26953125	70319.7265625	31714.076171875	36061.89453125	76209.9765625	58332.1015625	48651.76171875	48774.01953125	71702.3359375	54934.5625	76882.296875	50876.68359375	81381.5625	71195.6953125	50903.953125	67150.4765625	48886.5234375	54182.8359375	48148.01953125	39439.59375
15650.04	P36141	FMP46	Putative redox protein FMP46, mitochondrial	7	mitochondrion	negative regulation of transport	molecular_function,protein binding,oxidoreductase activity	100	7	7	7	7	6	7	5	7	7	7	7	7	6	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1967.0521240234375	1867.0552978515625	2321.9794921875	4676.12841796875	2241.31103515625	2201.2802734375	2238.22412109375	2156.596435546875	2512.30029296875	6577.5615234375	2081.337646484375	2361.587890625	2214.797607421875	2574.702392578125	2075.559326171875	2104.021240234375	6495.9775390625	2206.423583984375	2193.293701171875	2446.00732421875	3023.779052734375	3441.4892578125	3776.49365234375	6115.00439453125	6210.1025390625	6395.5322265625	3866.295166015625	6887.068359375	6304.4248046875	6340.7802734375	3794.5859375	6670.880859375	7953.82861328125	6238.68505859375	6328.94384765625	5974.6318359375	6017.59765625	2079.058837890625	7231.46923828125	2194.256591796875	8534.0419921875	3543.60791015625	6150.533203125	4457.25390625	6955.59033203125	6319.404296875	3336.8671875	6413.64453125
48756.8	P36142	HFL1	Vacuole membrane protein HFL1	4	vacuolar membrane,membrane,endoplasmic reticulum	protein targeting to vacuolar membrane,transmembrane transport	molecular_function,transmembrane transporter activity	60.4	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	2	0	0	1	1	0	2	1	0	1	0	2	0	1	0	1	2	2	1	1	3	2	3	NaN	NaN	NaN	NaN	669.2330932617188	577.3831176757812	423.6631164550781	NaN	604.2827758789062	NaN	NaN	413.7154235839844	438.2049255371094	601.4705200195312	NaN	461.2838134765625	NaN	563.2052001953125	528.1183471679688	NaN	NaN	537.2290649414062	609.2849731445312	NaN	593.8208618164062	642.6373291015625	NaN	NaN	633.968505859375	790.2639770507812	NaN	605.5537719726562	607.2188720703125	NaN	556.1019287109375	NaN	612.9837646484375	NaN	1267.350341796875	NaN	199.0723114013672	512.5571899414062	541.0390625	694.0883178710938	368.93194580078125	404.2867431640625	381.05853271484375	469.6075134277344
69723.99	P36143	GLG1	Glycogenin-1	12	cytoplasm,vacuole	glycogen biosynthetic process	protein binding,glycogenin glucosyltransferase activity,transferase activity, transferring glycosyl groups	97.9	4	5	0	5	5	5	6	6	4	4	4	6	4	4	4	3	3	4	6	5	4	5	5	8	4	5	4	6	5	5	4	7	6	6	5	4	9	5	6	4	6	4	6	4	7	6	5	5	675.9518432617188	523.3017578125	NaN	213.2888946533203	471.6255798339844	568.2048950195312	667.6655883789062	538.713134765625	362.9503173828125	261.7242431640625	582.37939453125	596.727783203125	481.76318359375	426.8294677734375	661.040771484375	366.620849609375	127.9637222290039	546.2023315429688	539.128662109375	630.54150390625	273.2889709472656	794.5159912109375	312.12847900390625	1048.3662109375	642.9296264648438	878.9778442382812	405.1813049316406	1019.9735107421875	741.9727783203125	1016.431884765625	352.2315673828125	831.1041259765625	1019.0188598632812	835.5800170898438	736.15625	773.4689331054688	2242.7373046875	694.8067016601562	1121.335693359375	607.1123046875	799.698486328125	620.1961669921875	655.7047729492188	825.431396484375	1135.673583984375	627.0794677734375	386.47174072265625	731.1461181640625
31615.85	P36144	UTP30	Ribosome biogenesis protein UTP30	14	nucleolus,nucleus,90S preribosome,ribonucleoprotein complex	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),maturation of SSU-rRNA,ribosome biogenesis,ribosomal small subunit biogenesis	molecular_function,RNA binding,protein binding	100	11	10	10	9	9	12	11	11	12	12	11	10	12	11	10	10	13	11	13	10	11	10	10	11	9	11	10	10	10	10	9	11	10	9	7	10	11	14	11	10	10	10	10	11	11	8	14	9	2764.221923828125	3124.37158203125	3180.15576171875	2812.14404296875	2539.26123046875	2691.59033203125	2700.564453125	3150.724853515625	2939.90380859375	2904.2021484375	2549.492431640625	2579.463623046875	2696.829833984375	3120.865966796875	2848.20751953125	2846.088134765625	3100.730224609375	2472.225341796875	2741.783935546875	2520.725830078125	3041.856201171875	2646.591552734375	2299.25439453125	2477.1728515625	2337.24560546875	2492.489990234375	2502.1884765625	2562.925537109375	2327.19921875	2410.462890625	2615.241455078125	2704.359375	2632.492431640625	2292.766357421875	2273.18017578125	2524.3232421875	2494.0615234375	2837.029541015625	2590.464599609375	2589.417236328125	2890.664306640625	2913.037109375	2434.009765625	2553.954345703125	2401.822509765625	2380.076904296875	3019.837646484375	2217.109375
36985.36	P36145	TFA2	Transcription initiation factor IIE subunit beta	19	nucleus,transcription factor TFIIE complex,transcriptional preinitiation complex	transcription from RNA polymerase II promoter,transcription initiation from RNA polymerase II promoter	RNA polymerase II core binding,TFIIH-class transcription factor binding,single-stranded DNA binding,protein binding,obsolete general RNA polymerase II transcription factor activity	100	17	15	17	17	14	15	14	17	18	15	14	15	17	18	15	16	16	15	14	14	17	15	15	15	14	15	13	15	13	16	16	17	13	15	14	16	16	18	16	18	14	16	16	15	16	16	17	15	3414.704833984375	3240.574462890625	2997.155029296875	2568.157958984375	3357.35498046875	3410.467041015625	3346.424560546875	3282.78857421875	3010.451904296875	3600.018310546875	3283.9501953125	3381.590087890625	3278.183837890625	3312.530029296875	3028.122802734375	2979.590087890625	3569.693603515625	3174.404296875	3312.03564453125	3340.86181640625	3286.441162109375	3158.108154296875	2900.368408203125	2692.4599609375	2799.5361328125	2665.11181640625	2924.85400390625	2708.247802734375	2667.46142578125	2442.693603515625	2886.8828125	2724.701171875	2773.096435546875	2602.174072265625	2567.572021484375	2746.906494140625	2591.314453125	3392.041748046875	2624.060791015625	3448.219482421875	2808.393310546875	3186.76708984375	2693.052490234375	3440.02294921875	2810.797119140625	2891.954833984375	3517.511962890625	2586.849365234375
59351.44	P36146	LAS1	Protein LAS1	19	nucleus,nucleolus,cytoplasm,mitochondrion,preribosome, large subunit precursor,Requires Ontology	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),maturation of 5.8S rRNA,maturation of LSU-rRNA,rRNA processing	endonuclease activity,endoribonuclease activity,protein binding	100	13	9	12	11	13	10	9	11	16	13	9	8	13	14	9	15	12	11	11	12	14	8	7	9	9	13	7	10	10	10	7	11	8	11	8	8	10	11	12	13	10	12	14	11	8	14	15	8	1514.5823974609375	1294.1641845703125	1439.272216796875	1488.874755859375	1361.7432861328125	1310.502197265625	1407.22705078125	1389.3802490234375	1499.3370361328125	2407.220458984375	1300.813232421875	1313.0936279296875	1449.3492431640625	1771.530029296875	1358.7694091796875	1378.5465087890625	2020.0037841796875	1412.3221435546875	1435.249755859375	1350.105224609375	1809.587158203125	1202.861572265625	1002.78759765625	1177.1732177734375	1157.7147216796875	1329.1029052734375	981.4539794921875	1159.1451416015625	1098.9677734375	1184.9747314453125	1126.661865234375	1292.2269287109375	1299.634033203125	1255.45947265625	1299.6806640625	1330.653564453125	1322.264404296875	1428.1986083984375	1212.0177001953125	1461.2952880859375	1228.4312744140625	1274.4371337890625	1149.4908447265625	1291.9058837890625	1263.715576171875	1259.0250244140625	1568.1519775390625	1039.126953125
21968.17	P36147	PAM17	Presequence translocated-associated motor subunit PAM17, mitochondrial	2	mitochondrion,mitochondrial inner membrane,presequence translocase-associated import motor	intracellular protein transport,protein import into mitochondrial matrix	molecular_function	100	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3990.667724609375	6406.37646484375	4741.18408203125	4302.81884765625	5689.146484375	6112.74609375	5369.47802734375	7727.65478515625	5227.01953125	3364.16796875	6192.068359375	5515.8447265625	5556.92333984375	4145.22265625	6972.1728515625	5240.1142578125	3621.357177734375	6565.4443359375	6159.48681640625	5173.49365234375	2971.74462890625	6535.58251953125	7997.154296875	7572.83544921875	7213.92431640625	7328.8349609375	7605.77587890625	7387.3486328125	6893.37548828125	6831.0380859375	7677.17626953125	6594.05712890625	5730.88671875	6155.5537109375	7226.634765625	6347.6025390625	6215.52001953125	4340.03076171875	9201.4775390625	5172.04443359375	6883.95458984375	5864.58837890625	7925.08837890625	5680.400390625	8332.990234375	8310.5078125	4957.82080078125	9149.5693359375
83644.9	P36148	GPT2	Glycerol-3-phosphate O-acyltransferase 2	39	cytoplasm,endoplasmic reticulum,endoplasmic reticulum membrane,lipid particle	phospholipid metabolic process,phospholipid biosynthetic process,CDP-diacylglycerol biosynthetic process,regulation of triglyceride metabolic process	glycerol-3-phosphate O-acyltransferase activity,glycerone-phosphate O-acyltransferase activity,transferase activity, transferring acyl groups	100	27	25	27	28	27	27	27	28	29	27	28	29	29	30	28	29	26	27	28	29	28	27	30	32	32	30	29	31	30	30	30	33	31	31	31	32	36	26	35	27	36	32	36	30	34	36	32	36	9313.8447265625	8885.3662109375	9949.87109375	11866.7265625	10062.9091796875	10133.123046875	10256.228515625	9284.361328125	10347.99609375	11313.068359375	9662.388671875	10025.611328125	9821.609375	10940.060546875	8836.986328125	9780.40625	11720.3935546875	9837.390625	9874.1953125	9764.384765625	10979.4482421875	12042.9462890625	13213.4833984375	19372.390625	20537.2578125	20219.30859375	13590.2265625	20110.638671875	19488.26953125	20533.865234375	12827.30078125	20570.5	20911.626953125	19765.61328125	19173.44921875	19809.794921875	20248.419921875	9430.2763671875	22415.783203125	9658.962890625	21018.255859375	13888.23828125	20676.39453125	17588.390625	21214.998046875	20613.478515625	10912.5888671875	20358.560546875
22129.46	P36149	BET3	Trafficking protein particle complex subunit BET3	9	cytosol,cis-Golgi network membrane,pre-autophagosomal structure,endoplasmic reticulum,Golgi apparatus,TRAPP complex,TRAPPI protein complex,TRAPPII protein complex,TRAPPIII protein complex	ER to Golgi vesicle-mediated transport,intra-Golgi vesicle-mediated transport,cellular response to nitrogen starvation,macroautophagy,CVT pathway,retrograde transport, endosome to Golgi,Golgi vesicle transport	guanyl-nucleotide exchange factor activity,protein binding	100	7	6	7	8	5	8	7	7	8	8	7	7	5	8	7	9	8	7	7	5	7	6	6	5	5	7	7	6	5	5	6	6	8	7	5	5	4	6	7	6	7	6	7	8	6	7	7	8	6234.39306640625	6818.87890625	6564.50439453125	6491.91748046875	6332.08251953125	6408.474609375	5754.80029296875	7300.93017578125	6183.13623046875	8515.546875	5218.771484375	5588.3447265625	5555.75244140625	6466.3525390625	6737.05224609375	6302.0224609375	9036.9423828125	4869.22802734375	5097.00927734375	5743.75	6397.70166015625	5526.759765625	5956.57080078125	4753.69677734375	5130.021484375	5488.3623046875	5831.4375	4605.666015625	5119.69482421875	4836.37158203125	5672.123046875	4449.826171875	5863.1142578125	5075.02001953125	5242.869140625	4226.32666015625	4998.568359375	4456.828125	5526.86767578125	6184.11376953125	7080.0703125	5692.65478515625	7513.08349609375	5639.70947265625	7339.81591796875	8773.0439453125	6603.990234375	8515.1533203125
